authors,year,month,what,title,venue,type
"Choi, K., Schlesinger, M.A., Grant, C., Puttre, H.J., Richert, R.A., & Franchak, J.M.",2017,October,Poster presented at the,Preschoolers use other’s effort as a cue to attention and selective attention,"11th Biennial Meeting of the Cognitive Development Society, Portland, OR",Poster
"Richert, R., Schlesinger, M. , & Franchak, J.M.",2016,October,Paper presented at the,Children attend to and learn more from characters who try hard,"SRCD Special Topic Meeting in Technology and Media in Children’s Development, Irvine, CA",Paper
"Schlesinger, M.A., Richert, R.A., & Franchak, J.M.",2016,August,Poster presented at the,"Informant effort expenditure impacts young children’s learning, eye gaze, and trust","38th Annual Meeting of the Cognitive Science Society, Philadelphia, PA",Poster
"Franchak, J.M., & Yu, C.",2016,May,Poster presented at the,Infants structure their visual experiences to favor toys over faces during play,"International Congress on Infant Studies, New Orleans, LA",Poster
,2016,,,,"Department of Psychology, Univ. of Nevada, Las Vegas, Las Vegas, NV",Colloquium
,2016,,,,"Department of Psychology, California State Univ., Long Beach, Long Beach, CA",Colloquium
"Franchak, J.M., & Yu, C.",2015,July,Paper presented at the,Visual-motor coordination in natural reaching of young children and adults,"meeting of the Cognitive Science Society, Pasadena, CA",Paper
"Franchak, J.M., & Adolph, K.E.",2015,July,Paper presented at the,Action experience facilitates recalibration to changing affordances when squeezing through doorways,"International Conference on Perception and Action, Minnesota, MN",Paper
,2015,,,,"Center for Mind and Brain, Univ. of California, Davis, Davis, CA",Colloquium
,2015,,,,"Department of Psychology, Univ. of Oregon, Eugene, OR",Colloquium
"Franchak, J.M.",2014,July,"Symposium Organizer and Chair,",What head-mounted eye tracking reveals about infants’ active vision,"International Conference on Infant Studies, Berlin, Germany",Organizing
"Franchak, J.M., & Yu, C.",2014,July,Paper presented at the,"Infant’s coordination of the eyes, hands, and head while guiding reaching movements","International Conference on Infant Studies, Berlin, Germany",Paper
"Franchak, J.M., Kretch, K.S., Heeger, D.H., Hasson, U., & Adolph, K.E.",2014,July,Paper presented at the,Infants’ visual exploration of faces in screen-based and real-world tasks,"International Conference on Infant Studies, Berlin, Germany",Paper
"Franchak, J.M.",2014,July,Paper presented at the,Measuring infants’ visual exploration with head-mounted eye tracking,"Preconference Workshop on Head-Mounted Eye Tracking, International Congress on Infant Studies, Berlin, Germany",Paper
"Bambach, S., Franchak, J.M., Crandall, D.J., & Yu, C.",2014,July,Paper presented at the,Detecting hands in children's egocentric views to understand embodied attention during social interaction,"36th annual meeting of the Cognitive Science Society, Quebec City, Canada",Paper
,2014,,,,"Department of Cognitive Science, Univ. of California-San Diego, San Diego, CA",Colloquium
,2014,,,,"Department of Psychology, Tufts Univ., Medford, MA",Colloquium
,2014,,,,"Department of Psychology, Univ. of California-Riverside, Riverside, CA",Colloquium
,2014,,"Invited Speaker,",,"Workshop on Eye Tracking Methods and Analysis, Center for Interdisciplinary Study, Bielefeld Univ., Bielefeld, Germany",Colloquium
"Adolph, K.E., Kretch, K.S., Cole, W.G., Karasik, L., Franchak, J.M., Chan, G., Tamis-LeMonda, C.",2013,April,Paper presented at the,Effects of crawling and walking on infants’ experiences,"meeting of the Society for Research in Child Development, Seattle, WA",Paper
"Franchak, J.M., Heeger, D.H., Hasson, U., & Adolph, K.E.",2013,April,Poster presented at the,Free-viewing gaze behavior in infants and adults,"meeting of the Society for Research in Child Development, Seattle, WA",Poster
"Adolph, K.E., & Franchak, J.M.",2012,June,Paper presented at the,Navigating through tight spots: Learning and recalibration,"International Conference on Infant Studies, Minneapolis, MN",Paper
"Kretch, K.S., Franchak, J.M., Brothers, J.L., & Adolph, K.E.",2012,June,Poster presented at the,Effects of locomotor posture on infants’ visual experiences,"International Conference on Infant Studies, Minneapolis MN",Poster
"Gilmore, R.O., Raudies, F., Kretch, K.S., Franchak, J.M. & Adolph, K.E.",2012,June,Poster presented at the,Do you see what I see? Comparing optic flow experienced by infants and their mothers,"International Conference on Infant Studies, Minneapolis MN",Poster
"Franchak, J.M., Hasson, U., Heeger, D.J., & Adolph, K.E.",2012,May,Poster presented at the,Reliability of actors’ and observers’ gaze during natural tasks,"meeting of the Vision Sciences Society, Naples FL",Poster
"Kretch, K.S., Franchak, J.M., Brothers, J.L., & Adolph, K.E.",2012,May,Poster presented at the,What infants see depends on locomotor posture,"meeting of the Vision Sciences Society, Naples FL",Poster
"Raudies, F., Kretch, K.S., Franchak, J.M., Mingolla, E., Gilmore, R.O., & Adolph, K.E.",2012,May,Poster presented at the,Where do mothers point their head when they walk and where do babies point their head when they are carried?,"meeting of the Vision Sciences Society, Naples FL",Poster
"Gilmore, R.O., Raudies, F., Kretch, K.S., Franchak, J.M., & Adolph, K.E.",2012,May,Poster presented at the,Patterns of optic flow experienced by infants and their mothers during locomotion,"meeting of the Vision Sciences Society, Naples FL",Poster
,2012,,,,"Department of Psychology, Bard Univ., Annandale-on-Hudson, NY",Colloquium
,2012,,,,"Department of Psychology, Rutgers Univ., Newark, Newark, NJ",Colloquium
,2012,,,,"Department of Psychology, Stony Brook Univ., Stony Brook, NY",Colloquium
"Adolph, K.E., Franchak, J.M., Kretch, K.S., & Soska, K.C.",2011,April,Paper presented at the,Head-mounted eye-tracking: A novel method to describe active vision in natural environments,"meeting of the Society for Research in Child Development, Montreal, Canada",Paper
"Franchak, J.M., Sadanand, A., & Adolph, K.E.",2011,October,Poster presented at the,Entrapment or falling: Infants’ exploration of action possibilities,"meeting of the Cognitive Development Society, Philadelphia, PA",Poster
"Franchak, J.M., Sadanand, A., & Adolph, K.E.",2011,April,Poster presented at the,Walls and falls: Infants’ motor decisions reflect consequences for errors,"meeting of the Society for Research in Child Development, Montreal, Canada",Poster
,2011,,,,"Department of Psychology, Univ. of Connecticut, Storrs, CT",Colloquium
,2011,,,,"Department of Psychology, Princeton Univ., Princeton, NJ",Colloquium
"Franchak, J.M., Kretch, K.S., Soska, K.C., & Adolph, K.E.",2010,March,Paper presented at the,Visual exploration during natural interactions: Head-mounted eye-tracking with mobile infants,"International Conference on Infant Studies, Baltimore, MD",Paper
"Franchak, J.M., & Adolph, K.E.",2010,November,Poster presented at the,Tight squeeze: Infants’ motor decisions reflect consequences for errors,"meeting of the International Society for Developmental Psychobiology, San Diego, CA",Poster
"Gabelman, L., Franchak, J.M., & Adolph, K.E.",2010,March,Poster presented at the,Fovea to periphery: The developmental progression of visual guidance during obstacle navigation,"International Conference on Infant Studies, Baltimore, MD",Poster
,2010,,"Invited Speaker,",,"Workshop for Perception and Action, Rauischholzhausen Castle, Germany",Colloquium
"Franchak, J.M., Kretch, K.S., Soska, K.C., & Adolph, K.E.",2009,October,Paper presented at the,Head-mounted eye-tracking of infants during natural interactions,"International Society for Developmental Psychobiology, Sandra G. Wiener Awards Symposium, Chicago, IL",Paper
"Franchak, J.M., van der Zalm, D.J. , Hartzler, B.M. , Adolph, K.E.",2009,June,Paper presented at the,Perceiving affordances for navigating through openings,"15th International Conference on Perception and Action, Minneapolis, MN",Paper
"Franchak, J.M., Adolph, K.E., Gabelman, L. , & Babcock, J.S.",2009,April,Paper presented at the,Visual guidance of locomotion in children: Navigation from the periphery,"meeting of the Society for Research in Child Development, Denver, CO",Paper
"Franchak, J.M., Adolph, K.E., Badaly, D., & Babcock, J.S.",2008,November,Paper presented at the,Navigation from the corner of the eye: Visual guidance of locomotion in children,"meeting of the International Society for Developmental Psychobiology, Washington, DC",Paper
"Franchak, J.M., Adolph, K.E., Badaly, D., Smith, M.T., & Babcock, J.S.",2008,May,Poster presented at the,Head-mounted eye-tracking with children: Visual guidance of motor action,"meeting of the Vision Sciences Society, Naples, FL",Poster
"Franchak, J.M., Smith, M.T., & Adolph, K.E.",2008,May,Poster presented at the,"Visual guidance of locomotion in infants, young adults, and the elderly","meeting of the Vision Sciences Society, Naples, FL",Poster
"Franchak, J.M., Smith, M.T. , & Adolph, K.E.",2007,November,Paper presented at the,Pregnant women walking through doorways,"meeting of the International Society for Developmental Psychobiology, San Diego, CA",Paper
"Franchak, J.M., & Adolph, K.E.",2007,May,Paper presented at the,Perceiving changing affordances for action: Pregnant women walking through doorways,"meeting of the Vision Sciences Society, Sarasota, FL",Paper
"Franchak, J.M., Stefanucci, J.K., & Proffitt, D.R.",2006,May,Poster presented at the,Within striking distance: Task efficacy influences perceived size and distance,"meeting of the Vision Sciences Society, Sarasota, FL",Poster
"Franchak, J.M., & Shiffrar, M.",2006,May,Poster presented at the,Body form and position influence the perceived speed of human gait,"meeting of the Vision Sciences Society, Sarasota, FL",Poster
